Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
43f72239-5f06-4e6f-8072-aa7f98551c4c,"2020-06-12, 05:17:01 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
d8972994-65dd-4f8a-939b-adc76181de95,"2020-06-12, 05:16:22 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,96.255.222.68
0fc4b927-0eb8-4754-9514-db044952a569,"2020-06-12, 05:13:09 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,96.255.222.68
b175480e-e032-412c-887a-1d12361d2e6c,"2020-06-12, 05:13:09 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,96.255.222.68
cc0b4f88-75e5-4652-bd8b-eaeed4cd58e9,"2020-06-12, 05:13:09 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,96.255.222.68
cdf63219-f141-46e7-aafd-2ea6abc97ba9,"2020-06-12, 05:13:09 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAV53EEKPBTCQ5RYQ4B""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::407695020995:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,96.255.222.68
c01974b3-949c-47c9-8ff8-1ae7b3203634,"2020-06-12, 05:11:49 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,96.255.222.68
e51001a2-e117-4117-9a09-2938e415986c,"2020-06-12, 05:11:49 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAV53EEKPB7KBIH4KH7""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::407695020995:group/Reviewers""}]",,us-east-1,,96.255.222.68
815df679-5b9e-4a1a-8a47-8d9407f0c284,"2020-06-12, 05:11:15 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAV53EEKPB7PAVGJUG6""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::407695020995:group/CloudTrailAdmins""}]",,us-east-1,,96.255.222.68
a7c5b76a-e5c4-43a7-a31e-30f8ffac3b09,"2020-06-12, 05:11:15 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,96.255.222.68
